Age,Candidate,Criminal_Case,District,Education,Liabilities,Party,State,Total_Assets,Winner,Year
65,MANORANJAN BHAKTA,0,Andaman & Nicobar Islands,Post Graduate,"Rs 2,72,061",INC,ANDAMAN,"Rs 59,26,740",Yes,2004
61,A K BISWAS,0,Andaman & Nicobar Islands,Graduate,"Rs 65,000",BSP,ANDAMAN,"Rs 78,76,500",No,2004
50,ASIT BARAN DUTTA,0,Andaman & Nicobar Islands,Graduate,Rs 0,IND,ANDAMAN,"Rs 30,70,000",No,2004
54,BISHNU PADA RAY,0,Andaman & Nicobar Islands,Graduate,"Rs 1,28,710",BJP,ANDAMAN,"Rs 12,50,619",No,2004
28,DEEPAK BISWAS,0,Andaman & Nicobar Islands,Not Given,Rs 0,IND,ANDAMAN,"Rs 3,000",No,2004
66,DR SHANMUGAM,0,Andaman & Nicobar Islands,Doctorate,"Rs 67,070",LJNSP,ANDAMAN,"Rs 61,66,416",No,2004
37,GOUR CHANDRA MAJUMDER,0,Andaman & Nicobar Islands,Graduate,Rs 0,IND,ANDAMAN,"Rs 36,200",No,2004
51,K KALIMUTHU, 1 ,Andaman & Nicobar Islands,8th Pass,"Rs 73,878",IND,ANDAMAN,"Rs 4,72,440",No,2004
65,K PERUMAL,0,Andaman & Nicobar Islands,Literate,Rs 0,SWD,ANDAMAN,"Rs 77,52,141",No,2004
49,N K P NAIR,0,Andaman & Nicobar Islands,Literate,"Rs 1,88,000",CPI(ML)(L),ANDAMAN,"Rs 7,72,588",No,2004
40,R S UMA BHARATHY, 1 ,Andaman & Nicobar Islands,Not Given,"Rs 35,000",NCP,ANDAMAN,"Rs 59,977",No,2004
46,TAPAN KUMAR BEPARI,0,Andaman & Nicobar Islands,Post Graduate,Rs 0,CPM,ANDAMAN,"Rs 24,35,276",No,2004
49,RENUKA CHOWDHURY, 1 ,Khammam,Post Graduate,"Rs 3,00,414",INC,ANDHRA PRADESH,"Rs 13,69,12,161",Yes,2004
44,ARUNA CHANDRA,0,Khammam,Not Given,Rs 0,IND,ANDHRA PRADESH,"Rs 2,00,000",No,2004
58,BANOTH SOMLA NAIK,0,Khammam,Others,"Rs 3,06,157",IND,ANDHRA PRADESH,"Rs 44,60,000",No,2004
39,BURRA VENKANNA,0,Khammam,5th Pass,"Rs 3,000",IND,ANDHRA PRADESH,"Rs 54,000",No,2004
46,NALAJALA SAROJA,0,Khammam,Not Given,Rs 0,PPOI,ANDHRA PRADESH,"Rs 26,85,000",No,2004
45,NAMA NAGESWARA RAO,0,Khammam,12th Pass,Rs 0,TDP,ANDHRA PRADESH,"Rs 36,83,000",No,2004
43,NAMA NAIK ISLAVATH,0,Khammam,Others,Rs 0,IND,ANDHRA PRADESH,"Rs 1,60,000",No,2004
60,PADIGA YERRAIAH,0,Khammam,10th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 2,38,000",No,2004
49,PITTALA VENKATA NARASAIAH MUDIRA,0,Khammam,10th Pass,"Rs 50,000",MRS,ANDHRA PRADESH,"Rs 6,35,000",No,2004
51,K. CHANDRA SHAKHER RAO,0,Karimnagar,Graduate,"Rs 25,59,507",TRS,ANDHRA PRADESH,"Rs 85,98,858",Yes,2004
61,CHENNAMANENI VIDYASAGAR RAO,0,Karimnagar,Graduate Professional,Rs 0,BJP,ANDHRA PRADESH,"Rs 51,96,600",No,2004
69,KOTHAPALLI SANDRI MENAYYA,0,Karimnagar,Graduate,"Rs 4,00,000",BSP,ANDHRA PRADESH,"Rs 18,15,000",No,2004
50,MAMIDIPALLI GANGARAJAM,0,Karimnagar,12th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 72,000",No,2004
53,D. VITTAL RAO,0,Mahabubnagar,Graduate,"Rs 30,00,000",INC,ANDHRA PRADESH,"Rs 6,50,75,830",Yes,2004
47,G. RAMCHANDRAIAH YADAV,0,Mahabubnagar,Others,Rs 0,BSP,ANDHRA PRADESH,Rs 182,No,2004
52,MOHD. MAZHER HUSSAIN,0,Mahabubnagar,Not Given,Rs 0,Muslim League Kerala State Committee,ANDHRA PRADESH,Nil,No,2004
56,SMT. GUNDALA VIJAYA LAKSHMI,0,Mahabubnagar,12th Pass,Rs 0,PPOI,ANDHRA PRADESH,"Rs 50,000",No,2004
64,YELKOTI YELLA REDDY,0,Mahabubnagar,12th Pass,"Rs 1,89,910",TDP,ANDHRA PRADESH,"Rs 19,04,000",No,2004
61,BADIGA RAMAKRISHNA,0,Machilipatnam,12th Pass,"Rs 1,15,59,000",INC,ANDHRA PRADESH,"Rs 13,85,45,000",Yes,2004
32,ADAPALA SIVANNARAYANA,0,Machilipatnam,Others,Rs 0,PPOI,ANDHRA PRADESH,"Rs 2,98,906",No,2004
64,AMBATI BRAHMANAIAH,0,Machilipatnam,Post Graduate,"Rs 1,68,301",TDP,ANDHRA PRADESH,"Rs 15,46,471",No,2004
42,B.S.RAO,0,Machilipatnam,Others,Rs 0,TRS,ANDHRA PRADESH,"Rs 82,00,000",No,2004
49,DODDA KAMESWARA RAO,0,Machilipatnam,10th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 15,00,000",No,2004
46,YENDURI SUBRAHMANYESWARA RAO (MANI),0,Machilipatnam,Others,Rs 0,IND,ANDHRA PRADESH,"Rs 8,00,000",No,2004
49,A. NARENDRA,0,Medak,Graduate,"Rs 5,00,000",TRS,ANDHRA PRADESH,"Rs 20,20,000",Yes,2004
45,K. LAXMAIAH YADAV,0,Medak,Graduate,Rs 0,IND,ANDHRA PRADESH,"Rs 1,80,000",No,2004
62,MD. ULFATHALI,0,Medak,Not Given,Rs 0,IND,ANDHRA PRADESH,"Rs 2,00,000",No,2004
43,NALLA SURYAPRAKASH,0,Medak,Graduate,Rs 0,BSP,ANDHRA PRADESH,"Rs 10,000",No,2004
73,P RAMACHANDRA REDDY,0,Medak,Post Graduate,"Rs 6,40,392",BJP,ANDHRA PRADESH,"Rs 64,54,939",No,2004
57,P. JEEVULA NAIK,0,Medak,5th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 23,79,500",No,2004
62,JAIPAL REDDY SUDINI,0,Miryalguda,Post Graduate,"Rs 15,46,865",INC,ANDHRA PRADESH,"Rs 1,22,64,007",Yes,2004
50,MARRY NEHEMIAH,0,Miryalguda,Graduate,Rs 0,IND,ANDHRA PRADESH,"Rs 80,000",No,2004
52,VANGALA SWAMY GOUD,0,Miryalguda,Not Given,"Rs 19,93,070",TDP,ANDHRA PRADESH,"Rs 50,01,067",No,2004
33,VARIKUPPALA VENKANNA,0,Miryalguda,10th Pass,Rs 0,MCPI(S),ANDHRA PRADESH,Nil,No,2004
37,YANALA NARSI REDDY,0,Miryalguda,12th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 62,000",No,2004
52,KOTLA JAYASURYA PRAKASHA REDDY,0,Kurnool,Graduate,"Rs 6,81,000",INC,ANDHRA PRADESH,"Rs 1,59,41,801",Yes,2004
36,DR. PARAMESHWAR REDDY,0,Kurnool,Graduate Professional,Rs 0,PPOI,ANDHRA PRADESH,"Rs 78,000",No,2004
52,GIRI NIVARTHI RAO YADAV,0,Kurnool,Post Graduate,Rs 0,IND,ANDHRA PRADESH,"Rs 48,42,200",No,2004
39,JAMES,0,Kurnool,12th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 10,000",No,2004
26,K. V. KRISHNA KUMAR, 1 ,Kurnool,Graduate,Rs 0,IND,ANDHRA PRADESH,"Rs 50,000",No,2004
65,KAMBALAPADU EDIGA KRISHNAMURTHI,0,Kurnool,Not Given,"Rs 1,86,82,834",TDP,ANDHRA PRADESH,"Rs 3,24,96,805",No,2004
42,R. V. MOHANA REDDY,0,Kurnool,Graduate,Rs 0,JP,ANDHRA PRADESH,"Rs 2,35,000",No,2004
47,REDDIPOGU DAVID,0,Kurnool,Not Given,"Rs 7,20,000",BSP,ANDHRA PRADESH,"Rs 5,37,500",No,2004
34,T. SESHAPHANI,0,Kurnool,12th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 2,000",No,2004
35,V. RAVINDER RAO,0,Kurnool,Not Given,Rs 0,TRS,ANDHRA PRADESH,Nil,No,2004
0,MUDRAGADA PADMANABHAM,0,Kakinada,Not Given,Rs 0,TDP,ANDHRA PRADESH,Nil,No,2004
51,NAINALASETTI MURTHY,0,Kakinada,Not Given,"Rs 5,62,000",CPI(ML)(L),ANDHRA PRADESH,"Rs 9,00,000",No,2004
37,ASADUDDIN OWAISI, 3 ,Hyderabad,Graduate Professional,Rs 0,AIMIM,ANDHRA PRADESH,"Rs 39,02,342",Yes,2004
45,BHAGWAN DAS,0,Hyderabad,Others,Rs 0,IND,ANDHRA PRADESH,"Rs 1,02,000",No,2004
51,G.SUBASH CHANDERJI,0,Hyderabad,Others,Rs 0,BJP,ANDHRA PRADESH,"Rs 3,38,000",No,2004
56,KONDA LAKSHMA REDDY,0,Hyderabad,Graduate,Rs 0,INC,ANDHRA PRADESH,"Rs 10,25,000",No,2004
36,MAJEEDULLAH KHAN @ FARHAT KHAN,0,Hyderabad,12th Pass,Rs 0,MBT,ANDHRA PRADESH,"Rs 7,00,000",No,2004
28,MOHSIN-BIN-HUSSAIN AL-KASARI,0,Hyderabad,Others,Rs 0,IND,ANDHRA PRADESH,"Rs 47,15,000",No,2004
50,SALAHUDDIN AHMED S.K.,0,Hyderabad,Not Given,Rs 0,IND,ANDHRA PRADESH,"Rs 9,46,744",No,2004
41,SMT.G.SHOBHA RANI,0,Hyderabad,Others,"Rs 2,50,000",BSP,ANDHRA PRADESH,"Rs 3,900",No,2004
48,SMT.VARSHA DHAWAN,0,Hyderabad,12th Pass,Rs 0,PPOI,ANDHRA PRADESH,Nil,No,2004
40,SYED GAFFAR,0,Hyderabad,Not Given,Rs 0,IND,ANDHRA PRADESH,Nil,No,2004
50,NIZAMODDIN,0,Hindupur,Graduate,"Rs 2,00,779",INC,ANDHRA PRADESH,"Rs 14,05,000",Yes,2004
31,B. SURENDER KUMAR,0,Hindupur,Graduate,Rs 0,TRS,ANDHRA PRADESH,"Rs 70,000",No,2004
45,B.K.PARDHASARATHI,0,Hindupur,Graduate,"Rs 21,96,288",TDP,ANDHRA PRADESH,"Rs 43,06,482",No,2004
44,SMT DESAI REDDY PRABHAVATHI,0,Hindupur,Not Given,Rs 0,IND,ANDHRA PRADESH,"Rs 5,70,000",No,2004
61,RAYAPATI  SAMBASIVA RAO,0,Guntur,Not Given,"Rs 98,89,900",INC,ANDHRA PRADESH,"Rs 4,81,98,297",Yes,2004
39,JUPALLI HANUMANTHA RAO GOUD,0,Guntur,10th Pass,Rs 0,BSP,ANDHRA PRADESH,"Rs 12,50,000",No,2004
72,MUVVA VENKAT RAO,0,Guntur,Post Graduate,Rs 0,IND,ANDHRA PRADESH,"Rs 58,90,000",No,2004
38,VENKATESWARLU GUNDI,0,Guntur,Others,Rs 0,TRS,ANDHRA PRADESH,"Rs 8,05,000",No,2004
71,Y. V. RAO,0,Guntur,Graduate,"Rs 39,77,714",TDP,ANDHRA PRADESH,"Rs 2,78,26,692",No,2004
29,Susmita Bauri,0,Vishnupur,Graduate Professional,"Rs 10,000",CPM,WEST BENGAL,"Rs 33,000",Yes,2004
38,Achintya Majhi,0,Vishnupur,Graduate,"Rs 50,050",INC,WEST BENGAL,"Rs 67,264",No,2004
40,Ajoy Bauri,0,Vishnupur,Not Given,Rs 0,BSP,WEST BENGAL,"Rs 35,000",No,2004
37,Janardan Saha,0,Vishnupur,Post Graduate,"Rs 14,000",AITC,WEST BENGAL,"Rs 2,33,612",No,2004
40,Sraban Mondal,0,Vishnupur,Graduate,Rs 0,IND,WEST BENGAL,Nil,No,2004
58,Hannan Mollah,0,Uluberia,Post Graduate,Rs 0,CPM,WEST BENGAL,"Rs 6,21,879",Yes,2004
68,Baidya Nath Chowdhury,0,Uluberia,Not Given,Rs 0,IND,WEST BENGAL,"Rs 8,58,538",No,2004
54,Bharat Chandra Manna,0,Uluberia,Post Graduate,"Rs 74,000",IND,WEST BENGAL,"Rs 33,577",No,2004
67,Kazi Abdul Rajjak,0,Uluberia,Literate,Rs 0,INC,WEST BENGAL,"Rs 3,34,66,200",No,2004
36,Rajib Banerjee,0,Uluberia,Graduate,"Rs 3,00,000",AITC,WEST BENGAL,"Rs 1,77,516",No,2004
49,Sandhya Mandal,0,Uluberia,Graduate,Rs 0,BSP,WEST BENGAL,"Rs 30,12,000",No,2004
35,Snehanshu Maity,0,Uluberia,Not Given,Rs 0,IND,WEST BENGAL,"Rs 12,463",No,2004
45,B.VINOD KUMAR,0,Hanamkonda,Graduate,Rs 0,TRS,ANDHRA PRADESH,"Rs 1,00,11,716",Yes,2004
45,CHADA SURESH REDDY,0,Hanamkonda,Graduate,"Rs 1,20,000",TDP,ANDHRA PRADESH,"Rs 2,36,65,000",No,2004
52,DR.DHARMAPUR SAMPATH RAJARAM YADAV,0,Hanamkonda,Others,Rs 0,IND,ANDHRA PRADESH,"Rs 77,00,000",No,2004
31,SACHIN PILOT,0,Ajmer,Post Graduate,Rs 0,INC,RAJASTHAN,"Rs 4,64,89,558",Yes,2009
48,Kiran Maheshwari,0,Ajmer,Graduate,Rs 0,BJP,RAJASTHAN,"Rs 85,00,435",No,2009
34,MUKESH JAIN,0,Ajmer,10th Pass,"Rs 5,00,000",IND,RAJASTHAN,"Rs 2,23,000",No,2009
53,NAFISUDDIN,0,Ajmer,8th Pass,Rs 0,IND,RAJASTHAN,"Rs 27,58,026",No,2009
49,SHANTILAL DHABARIA, 1 ,Ajmer,12th Pass,Rs 0,IND,RAJASTHAN,"Rs 29,57,553",No,2009
65,SHRI INDER CHAND PALIWAL,0,Ajmer,8th Pass,Rs 0,JGP,RAJASTHAN,"Rs 54,68,000",No,2009
52,SHRI ROHITASH,0,Ajmer,Post Graduate,"Rs 72,997",BSP,RAJASTHAN,"Rs 4,29,25,000",No,2009
61,USHA KIRAN VERMA,0,Ajmer,Post Graduate,Rs 0,IND,RAJASTHAN,"Rs 20,30,000",No,2009
60,KAVURU  SAMBA SIVA RAO,0,Eluru,Not Given,"Rs 1,91,621",INC,ANDHRA PRADESH,"Rs 11,78,98,221",Yes,2004
42,B.N.V.SATYANARAYANA,0,Eluru,Post Graduate,"Rs 10,50,000",TRS,ANDHRA PRADESH,"Rs 50,000",No,2004
77,BOLLA BULLI RAMAIAH,0,Eluru,Others,"Rs 34,70,256",TDP,ANDHRA PRADESH,"Rs 8,33,68,069",No,2004
38,D.S.V.KRISHNAJI,0,Eluru,Others,Rs 0,BSP,ANDHRA PRADESH,"Rs 34,65,000",No,2004
45,KODURI SRIRAMULU,0,Eluru,10th Pass,"Rs 1,42,243",IND,ANDHRA PRADESH,"Rs 31,46,414",No,2004
57,S.V.B.REDDY,0,Eluru,Others,Rs 0,IND,ANDHRA PRADESH,"Rs 16,62,000",No,2004
44,S.V.SUBBARAO,0,Eluru,Graduate,Rs 0,IND,ANDHRA PRADESH,"Rs 42,927",No,2004
40,SATABDI ROY (BANERJEE),0,Birbhum,12th Pass,"Rs 5,26,321",AITC,WEST BENGAL,"Rs 1,31,48,000",Yes,2009
42,ASGAR ALI (GAJLU), 4 ,Birbhum,8th Pass,"Rs 24,00,000",SP,WEST BENGAL,"Rs 96,92,700",No,2009
71,BRAJA MOHAN MUKHERJEE,0,Birbhum,Graduate,Rs 0,CPM,WEST BENGAL,"Rs 20,63,311",No,2009
54,MOULANA NAJRUL HAK, 1 ,Birbhum,12th Pass,"Rs 15,000",AUDF,WEST BENGAL,"Rs 54,000",No,2009
62,RADHESHYAM SINGH,0,Birbhum,12th Pass,Rs 0,BSP,WEST BENGAL,"Rs 18,531",No,2009
44,SHIBRATAN SHARMA,0,Birbhum,8th Pass,"Rs 1,01,300",JMM,WEST BENGAL,"Rs 11,31,000",No,2009
59,TAPAS MUKHERJEE,0,Birbhum,Graduate Professional,"Rs 2,44,635",BJP,WEST BENGAL,"Rs 39,04,539",No,2009
52,SANKAR ADHI, 1 ,Kallakurichi,Graduate Professional,"Rs 9,86,068",DMK,TAMIL NADU,"Rs 1,78,37,266",Yes,2009
27,ANANDHADASS C,0,Kallakurichi,10th Pass,Rs 0,LJP,TAMIL NADU,"Rs 60,300",No,2009
44,ARUN KENNEDI A,0,Kallakurichi,10th Pass,Rs 0,IND,TAMIL NADU,"Rs 50,000",No,2009
35,DHANARAJ T,0,Kallakurichi,Not Given,Rs 0,IND,TAMIL NADU,"Rs 20,70,000",No,2009
52,DHANARAJU K,0,Kallakurichi,Doctorate,"Rs 67,77,922",PMK,TAMIL NADU,"Rs 1,25,31,131",No,2009
32,DINESH M,0,Kallakurichi,Others,Rs 0,IND,TAMIL NADU,"Rs 1,06,000",No,2009
32,GANESAN K,0,Kallakurichi,Graduate,Rs 0,IND,TAMIL NADU,"Rs 5,15,000",No,2009
73,GOVINDARAJAN K M,0,Kallakurichi,Not Given,Rs 0,Akila India Vallalar Peravai,TAMIL NADU,"Rs 9,50,000",No,2009
56,INIYADAYALAN G,0,Kallakurichi,Not Given,"Rs 10,000",IND,TAMIL NADU,"Rs 32,18,000",No,2009
63,KESAVAN ANNA,0,Kallakurichi,12th Pass,Rs 0,JMM,TAMIL NADU,"Rs 24,94,400",No,2009
57,MANICKAM V,0,Kallakurichi,Graduate,"Rs 85,518",IND,TAMIL NADU,"Rs 26,43,519",No,2009
48,MANNAN M P,0,Kallakurichi,Post Graduate,Rs 0,IND,TAMIL NADU,"Rs 90,000",No,2009
31,NALLATHAMBI C,0,Kallakurichi,10th Pass,Rs 0,IND,TAMIL NADU,"Rs 16,60,000",No,2009
33,NAVARATTHINAM A,0,Kallakurichi,Literate,Rs 0,IND,TAMIL NADU,"Rs 3,50,000",No,2009
52,RAJAMANICKAM K,0,Kallakurichi,10th Pass,"Rs 51,000",IND,TAMIL NADU,"Rs 15,15,498",No,2009
50,RAJENTHREN D,0,Kallakurichi,5th Pass,Rs 0,IND,TAMIL NADU,"Rs 30,000",No,2009
38,RAJENTHREN M,0,Kallakurichi,5th Pass,Rs 0,IND,TAMIL NADU,"Rs 30,000",No,2009
52,RAMAJAYAM P M,0,Kallakurichi,Literate,Rs 0,IND,TAMIL NADU,"Rs 2,62,000",No,2009
32,RAMESH S,0,Kallakurichi,Graduate Professional,"Rs 76,85,779",KNMK,TAMIL NADU,"Rs 1,12,12,388",No,2009
30,SADEESH A,0,Kallakurichi,12th Pass,Rs 0,IND,TAMIL NADU,"Rs 20,000",No,2009
35,SATHISH BABU S,0,Kallakurichi,10th Pass,"Rs 2,00,000",IND,TAMIL NADU,"Rs 8,02,000",No,2009
39,SELVAM K,0,Kallakurichi,5th Pass,"Rs 1,35,000",IND,TAMIL NADU,"Rs 25,00,360",No,2009
35,SENTHILKUMAR K,0,Kallakurichi,12th Pass,Rs 0,BSP,TAMIL NADU,"Rs 3,51,000",No,2009
33,SIVARAMAN G,0,Kallakurichi,Post Graduate,Rs 0,IND,TAMIL NADU,"Rs 1,01,500",No,2009
41,SUDHISH L K,0,Kallakurichi,Graduate,"Rs 80,43,273",DMDK,TAMIL NADU,"Rs 6,03,13,713",No,2009
50,VASU V,0,Kallakurichi,5th Pass,Rs 0,IND,TAMIL NADU,"Rs 1,80,000",No,2009
52,VIJAYA RAJENDHAR T,0,Kallakurichi,Post Graduate,"Rs 46,33,000",IND,TAMIL NADU,"Rs 14,30,76,637",No,2009
34,YUVARAJ R,0,Kallakurichi,10th Pass,Rs 0,IND,TAMIL NADU,"Rs 1,02,000",No,2009
56,SULTAN AHMED,0,Uluberia,Graduate,"Rs 36,00,555",AITC,WEST BENGAL,"Rs 60,26,230",Yes,2009
36,ASHISH DAS,0,Uluberia,Graduate,"Rs 5,00,000",IND,WEST BENGAL,"Rs 5,42,000",No,2009
63,HANNAN MOLLAH,0,Uluberia,Post Graduate,Rs 0,CPM,WEST BENGAL,"Rs 62,08,199",No,2009
36,KAZI NABAB, 1 ,Uluberia,Graduate,Rs 0,AUDF,WEST BENGAL,"Rs 3,48,000",No,2009
67,NARENDRA NATH MANDAL,0,Uluberia,Graduate Professional,Rs 0,BSP,WEST BENGAL,"Rs 27,26,000",No,2009
45,RABIN DALUI,0,Uluberia,12th Pass,Rs 124,RDMP,WEST BENGAL,"Rs 16,85,600",No,2009
38,RAHUL CHAKRABARTY,0,Uluberia,Graduate,Rs 0,BJP,WEST BENGAL,"Rs 31,00,000",No,2009
52,KALYAN BANERJEE,0,Sreerampur,Graduate Professional,"Rs 21,25,000",AITC,WEST BENGAL,"Rs 1,61,46,266",Yes,2009
41,AMITAVA BHATTACHARYA, 3 ,Sreerampur,Graduate,Rs 0,IND,WEST BENGAL,"Rs 24,766",No,2009
44,SEKH AORANGJEB,0,Uluberia,Post Graduate,Rs 0,IND,WEST BENGAL,"Rs 3,89,102",No,2009
31,SWAPAN DAS,0,Uluberia,10th Pass,Rs 0,IND,WEST BENGAL,"Rs 6,000",No,2009
33,CHIRANJIT NASKAR,0,Sreerampur,10th Pass,Rs 0,IND,WEST BENGAL,"Rs 2,77,000",No,2009
72,DEBABRATA CHOWDHURY,0,Sreerampur,Doctorate,Rs 0,BJP,WEST BENGAL,"Rs 41,85,176",No,2009
56,PRADIP GHOSH,0,Sreerampur,10th Pass,"Rs 2,000",AUDF,WEST BENGAL,"Rs 1,86,79,500",No,2009
37,RAKESH KUMAR GOUTAM,0,Sreerampur,Graduate Professional,Rs 0,BSP,WEST BENGAL,"Rs 20,14,000",No,2009
69,SANTASRI CHATTERJEE,0,Sreerampur,Graduate,Rs 0,CPM,WEST BENGAL,"Rs 23,71,252",No,2009
61,SEKH SOLEMAN,0,Sreerampur,Graduate,Rs 0,IND,WEST BENGAL,"Rs 5,20,000",No,2009
69,SUCHARU RANJAN HALDAR,0,Ranaghat,Post Graduate,Rs 0,AITC,WEST BENGAL,"Rs 1,08,82,896",Yes,2009
73,BASUDEB BARMAN,0,Ranaghat,Post Graduate,Rs 0,CPM,WEST BENGAL,"Rs 41,46,393",No,2009
49,MANMATHA BISWAS,0,Ranaghat,8th Pass,"Rs 25,000",IND,WEST BENGAL,"Rs 7,71,500",No,2009
54,NADIAR CHAND MONDAL,0,Ranaghat,12th Pass,Rs 0,RPI,WEST BENGAL,"Rs 15,15,000",No,2009
64,SATISH CHANDRA BISWAS,0,Ranaghat,Graduate,Rs 0,BSP,WEST BENGAL,"Rs 11,25,000",No,2009
59,SUKALYAN RAY,0,Ranaghat,Graduate,Rs 0,BJP,WEST BENGAL,"Rs 15,20,000",No,2009
59,HARISH RAWAT, 1 ,Hardwar,Graduate Professional,Rs 0,INC,UTTARAKHAND,"Rs 1,18,25,335",Yes,2009
31,ABBAS,0,Hardwar,5th Pass,Rs 0,IND,UTTARAKHAND,"Rs 11,76,000",No,2009
38,AJAY KATHURIA,0,Hardwar,Post Graduate,Rs 0,IND,UTTARAKHAND,"Rs 1,57,985",No,2009
60,AMBRISH KUMAR, 2 ,Hardwar,Post Graduate,Rs 0,SP,UTTARAKHAND,"Rs 2,77,76,400",No,2009
36,ASIF KHAN, 2 ,Hardwar,Post Graduate,"Rs 40,000",AD,UTTARAKHAND,"Rs 6,47,200",No,2009
29,KULVEER SINGH,0,Hardwar,Post Graduate,Rs 0,IND,UTTARAKHAND,"Rs 98,937",No,2009
35,MOHD. MURSALEEN QURESHI,0,Hardwar,Illiterate,Rs 0,IND,UTTARAKHAND,"Rs 16,00,000",No,2009
47,NATTHU RAM,0,Hardwar,5th Pass,Rs 0,IND,UTTARAKHAND,"Rs 8,84,500",No,2009
40,PT. SHIVAM MAHARAJ,0,Hardwar,Graduate,Rs 0,IND,UTTARAKHAND,"Rs 2,45,000",No,2009
47,RAJEEV GUPTA, 1 ,Hardwar,12th Pass,"Rs 1,00,173",RJSD,UTTARAKHAND,"Rs 7,19,816",No,2009
38,RAJKUMAR SAINI,0,Hardwar,12th Pass,Rs 0,UKKD,UTTARAKHAND,"Rs 53,46,099",No,2009
38,RAMSHARAN BHATT,0,Hardwar,12th Pass,Rs 0,IND,UTTARAKHAND,"Rs 1,18,000",No,2009
52,RANDHIR BHARAT,0,Hardwar,10th Pass,"Rs 5,00,000",IND,UTTARAKHAND,"Rs 51,00,000",No,2009
52,RIASAT ALI,0,Hardwar,Not Given,Rs 0,RPI(A),UTTARAKHAND,"Rs 53,30,000",No,2009
37,SANJAY,0,Hardwar,Graduate,Rs 0,IND,UTTARAKHAND,"Rs 12,02,000",No,2009
46,SHAHIDA BEGAM,0,Hardwar,8th Pass,Rs 0,IND,UTTARAKHAND,"Rs 2,75,000",No,2009
44,SHAHZAD, 1 ,Hardwar,8th Pass,"Rs 3,00,000",BSP,UTTARAKHAND,"Rs 1,27,53,642",No,2009
50,SUBHASH,0,Hardwar,Graduate,Rs 0,MKD,UTTARAKHAND,"Rs 92,94,000",No,2009
56,SUMER CHAND,0,Hardwar,Illiterate,Rs 0,IND,UTTARAKHAND,"Rs 40,000",No,2009
44,SWAMI YATINDRANAND GIRI,0,Hardwar,Not Given,Rs 0,BJP,UTTARAKHAND,"Rs 9,76,229",No,2009
63,V.K.KAMPANI,0,Hardwar,Post Graduate,Rs 0,IND,UTTARAKHAND,"Rs 19,81,863",No,2009
39,ADHIKARI SUVENDU, 3 ,Tamluk,Graduate,Rs 0,AITC,WEST BENGAL,"Rs 47,51,934",Yes,2009
45,BHAKTI ADHIKARY,0,Tamluk,Post Graduate,Rs 0,IND,WEST BENGAL,"Rs 1,64,141",No,2009
41,JAHED SEK,0,Tamluk,Not Given,Rs 0,AUDF,WEST BENGAL,"Rs 8,71,491",No,2009
33,MANIK CHANDRA MONDAL,0,Tamluk,Graduate,Rs 0,LJP,WEST BENGAL,"Rs 10,000",No,2009
65,MANORANJAN MANDAL,0,Tamluk,10th Pass,Rs 0,BSP,WEST BENGAL,"Rs 9,44,000",No,2009
29,SEIKH ABDUR REJAK,0,Tamluk,12th Pass,Rs 0,IND,WEST BENGAL,"Rs 1,11,000",No,2009
55,SHEIKH MURUL ISALM,0,Tamluk,Others,Rs 0,IND,WEST BENGAL,"Rs 4,000",No,2009
54,Narahari Mahato,0,Purulia,Post Graduate,"Rs 4,00,000",AIFB,WEST BENGAL,"Rs 30,86,000",Yes,2009
41,Abhiram Besra,0,Purulia,10th Pass,Rs 0,JDP,WEST BENGAL,"Rs 60,000",No,2009
39,Abinash Saren,0,Purulia,Graduate,Rs 0,Amra Bangalee,WEST BENGAL,"Rs 52,000",No,2009
56,Ajit Prasad Mahato, 5 ,Purulia,Graduate,Rs 0,JMM,WEST BENGAL,"Rs 3,93,866",No,2009
68,Amulya Ratan Mahato,0,Purulia,Graduate,Rs 0,IND,WEST BENGAL,"Rs 3,70,000",No,2009
38,Asit Baran Mahato,0,Purulia,10th Pass,Rs 0,BSP,WEST BENGAL,"Rs 43,000",No,2009
42,Bisambar Mura,0,Purulia,Post Graduate,Rs 0,IND,WEST BENGAL,"Rs 7,139",No,2009
48,Dhiren Chandra Mahato, 1 ,Purulia,10th Pass,Rs 0,JD(U),WEST BENGAL,"Rs 8,50,000",No,2009
44,Dhiren Rajak,0,Purulia,8th Pass,Rs 0,IND,WEST BENGAL,"Rs 1,50,000",No,2009
46,Mrityunjay Mahato,0,Purulia,Post Graduate,"Rs 1,50,000",IND,WEST BENGAL,"Rs 21,656",No,2009
36,Mukesh Sahu,0,Purulia,12th Pass,"Rs 1,83,000",IND,WEST BENGAL,"Rs 4,11,600",No,2009
48,Deepa Dasmunsi,0,Raiganj,Post Graduate,Rs 0,INC,WEST BENGAL,"Rs 1,25,14,145",Yes,2009
62,Abdul Karim Chowdhary, 4 ,Raiganj,Graduate,"Rs 5,81,400",IND,WEST BENGAL,"Rs 1,43,07,000",No,2009
