Age,Candidate,Criminal_Case,District,Education,Liabilities,Party,State,Total_Assets,Winner,Year
56,Amar Singh Rathaur,0,BANDA,Graduate Professional,"Rs 6,20,000",AAP,UTTAR PRADESH,"Rs 71,80,000",No,2014
54,Bal Kumar Patel Alias Rajkumar, 9 ,BANDA,12th Pass,"Rs 1,34,32,893",SP,UTTAR PRADESH,"Rs 4,10,04,212",No,2014
46,Mo. Sageer,0,BANDA,10th Pass,Rs 0,Peace Party,UTTAR PRADESH,"Rs 35,94,500",No,2014
64,Narendra Kumar Shrivastava,0,BANDA,10th Pass,Rs 0,IND,UTTAR PRADESH,"Rs 38,03,936",No,2014
31,Pappu Yadav,0,BANDA,12th Pass,Rs 0,JD(U),UTTAR PRADESH,"Rs 13,22,000",No,2014
29,Prabhakar Prasad,0,BANDA,Graduate,Rs 0,Bharatiya Kisan Sena Loktantrik,UTTAR PRADESH,"Rs 3,51,027",No,2014
54,R. K. Singh Patel, 2 ,BANDA,Graduate,"Rs 17,33,008",BSP,UTTAR PRADESH,"Rs 3,77,92,491",No,2014
52,Ramchandra Saras,0,BANDA,Graduate,"Rs 6,10,000",CPI,UTTAR PRADESH,"Rs 40,90,000",No,2014
44,Shushila Singh,0,BANDA,5th Pass,Rs 0,Bhartiya Shakti Chetna Party,UTTAR PRADESH,"Rs 19,21,772",No,2014
57,Vijay Prakash,0,BANDA,8th Pass,Rs 0,IND,UTTAR PRADESH,"Rs 1,70,000",No,2014
60,Vishvambhar Nath,0,BANDA,Post Graduate,"Rs 5,90,000",Bahujan Mukti Party,UTTAR PRADESH,"Rs 1,53,36,700",No,2014
38,Kamlesh Paswan,0,BANSGAON,Graduate,"Rs 1,45,68,500",BJP,UTTAR PRADESH,"Rs 10,16,40,625",Yes,2014
45,Arjun Prasad Raw,0,BANSGAON,10th Pass,Rs 0,Bhartiya Sarvjan Party,UTTAR PRADESH,"Rs 5,72,000",No,2014
34,Chandrika,0,BANSGAON,Post Graduate,Rs 0,Rashtriya Janwadi Party (Krantikari),UTTAR PRADESH,"Rs 2,11,315",No,2014
56,Gorakh Prasad, 1 ,BANSGAON,Graduate Professional,"Rs 4,85,000",SP,UTTAR PRADESH,"Rs 98,44,522",No,2014
41,Kunjawati,0,BANSGAON,Graduate,Rs 0,IND,UTTAR PRADESH,"Rs 12,49,585",No,2014
58,Vivek Kumar Singh, 5 ,BANDA,Graduate Professional,Rs 0,INC,UTTAR PRADESH,"Rs 8,36,49,102",No,2014
44,Lalchand Prasad,0,BANSGAON,Doctorate,Rs 0,Ambedkar Samaj Party,UTTAR PRADESH,"Rs 4,82,718",No,2014
50,Ram Naresh, 1 ,BANSGAON,Literate,Rs 0,Indian Savarn Samaj Party,UTTAR PRADESH,"Rs 1,22,650",No,2014
38,Ramnivas Paswan,0,BANSGAON,Post Graduate,Rs 0,AAP,UTTAR PRADESH,"Rs 12,35,967",No,2014
